Location,Age,Sex,Measure,Metric,Pathogen,Pathogen Type,Infectious syndrome,Year,Value,Upper,Lower
Maldives,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Morganella spp.,Bacteria,All infectious syndromes,2019,0.44153877432676475,0.6745212543649034,0.2744077143532413
Mexico,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Morganella spp.,Bacteria,All infectious syndromes,2019,2.1708269129257625,3.2665424454180525,1.4146401660405967
Marshall Islands,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Morganella spp.,Bacteria,All infectious syndromes,2019,2.8090557280396222,5.0455737631696564,1.3741414492764201
North Macedonia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Morganella spp.,Bacteria,All infectious syndromes,2019,1.6586404005244053,3.250706222949737,0.5950262824328904
Mali,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Morganella spp.,Bacteria,All infectious syndromes,2019,0.9825234642446198,1.641589161572707,0.5301387964379547
Malta,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Morganella spp.,Bacteria,All infectious syndromes,2019,1.143845384660595,1.6353839321069406,0.8004827278286182
Myanmar,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Morganella spp.,Bacteria,All infectious syndromes,2019,2.0419904099339363,3.3226440675665763,1.1080112239329996
Montenegro,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Morganella spp.,Bacteria,All infectious syndromes,2019,1.1566337805615399,2.224764066147054,0.4415154980325026
Mongolia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Morganella spp.,Bacteria,All infectious syndromes,2019,1.9601676024000227,3.356234508177049,1.074558230692593
Northern Mariana Islands,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Morganella spp.,Bacteria,All infectious syndromes,2019,2.5181339163168057,3.834575746847908,1.5603900359356029
Mozambique,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Morganella spp.,Bacteria,All infectious syndromes,2019,0.9926359905644518,1.6818130169580614,0.5018933075339473
Mauritania,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Morganella spp.,Bacteria,All infectious syndromes,2019,0.662711278097654,1.073658804160816,0.3740256689582209
Mauritius,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Morganella spp.,Bacteria,All infectious syndromes,2019,2.5017364562411206,4.354462967002868,1.2130332553442493
Malawi,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Morganella spp.,Bacteria,All infectious syndromes,2019,0.7497905473981886,1.2310472130244414,0.3814396266088421
Malaysia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Morganella spp.,Bacteria,All infectious syndromes,2019,1.6602961635760487,2.783735354789438,0.855942792884438
Namibia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Morganella spp.,Bacteria,All infectious syndromes,2019,0.8927679840473618,1.5524579886224843,0.4695670856425394
Niger,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Morganella spp.,Bacteria,All infectious syndromes,2019,0.7825807534860911,1.3564757086366008,0.40610044194832906
Nigeria,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Morganella spp.,Bacteria,All infectious syndromes,2019,0.6505468978361689,1.0668355795763618,0.37755830348664243
Nicaragua,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Morganella spp.,Bacteria,All infectious syndromes,2019,0.9840154252691338,1.6878136174211409,0.5647434049369514
Niue,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Morganella spp.,Bacteria,All infectious syndromes,2019,2.767338749758701,4.6294681037699705,1.4229047590086694
Netherlands,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Morganella spp.,Bacteria,All infectious syndromes,2019,1.4027863173884942,1.8607108844393485,1.0339916797487407
Norway,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Morganella spp.,Bacteria,All infectious syndromes,2019,1.0075807234881802,1.3649934693358414,0.7207101847870752
Nepal,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Morganella spp.,Bacteria,All infectious syndromes,2019,1.8632589148410559,2.869619656060402,1.0947964287967136
Nauru,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Morganella spp.,Bacteria,All infectious syndromes,2019,1.8117190951701434,3.2640290973768997,0.9218981888439314
New Zealand,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Morganella spp.,Bacteria,All infectious syndromes,2019,0.8157360441213645,1.2298476168062307,0.5391300519044584
Oman,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Morganella spp.,Bacteria,All infectious syndromes,2019,0.29300798799774036,0.49828258976235335,0.16319505941430898
Pakistan,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Morganella spp.,Bacteria,All infectious syndromes,2019,2.399048241321415,3.782773073626062,1.3884301094556089
Panama,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Morganella spp.,Bacteria,All infectious syndromes,2019,1.000776375145564,1.5698023075934227,0.5933491700822547
Peru,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Morganella spp.,Bacteria,All infectious syndromes,2019,1.2381596489967328,1.856225725607662,0.7834173612898736
