Location,Age,Sex,Measure,Metric,Pathogen,Pathogen Type,Infectious syndrome,Year,Value,Upper,Lower
Kuwait,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Aeromonas spp.,Bacteria,All infectious syndromes,2019,1.0122039204175712,2.0211790888140015,0.4177340655545908
Lao People's Democratic Republic,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Aeromonas spp.,Bacteria,All infectious syndromes,2019,2.3859183331098945,5.5216805871280865,0.7816363337573321
Lebanon,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Aeromonas spp.,Bacteria,All infectious syndromes,2019,2.3085794607111048,5.533620989686588,0.7956369384795421
Liberia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Aeromonas spp.,Bacteria,All infectious syndromes,2019,51.24544946517964,113.9560714392989,16.286822024008504
Libya,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Aeromonas spp.,Bacteria,All infectious syndromes,2019,3.137927211459274,6.621704925916206,1.142383195040285
Saint Lucia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Aeromonas spp.,Bacteria,All infectious syndromes,2019,0.26951557341505733,0.4895906273718075,0.1279657940949925
Sri Lanka,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Aeromonas spp.,Bacteria,All infectious syndromes,2019,0.3516868664533258,0.6928352149388006,0.1363780299941595
Lesotho,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Aeromonas spp.,Bacteria,All infectious syndromes,2019,64.86622168739163,141.3129685463472,26.333339954167684
Lithuania,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Aeromonas spp.,Bacteria,All infectious syndromes,2019,0.9939788245480602,1.7980785867185645,0.4482185402113775
Luxembourg,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Aeromonas spp.,Bacteria,All infectious syndromes,2019,0.07052301848154596,0.13115638412994204,0.03139377690762644
Latvia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Aeromonas spp.,Bacteria,All infectious syndromes,2019,1.0252223502591318,2.0050630871957553,0.4263581277569839
Morocco,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Aeromonas spp.,Bacteria,All infectious syndromes,2019,6.607218210804288,13.793561733510897,2.4481912214848998
Monaco,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Aeromonas spp.,Bacteria,All infectious syndromes,2019,0.04343748474142043,0.08739988988261596,0.016779506118759457
Republic of Moldova,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Aeromonas spp.,Bacteria,All infectious syndromes,2019,1.0217564150590372,1.8179230241806323,0.4642553708865651
Madagascar,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Aeromonas spp.,Bacteria,All infectious syndromes,2019,111.08791795219278,222.5139189865402,41.27568741757041
Maldives,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Aeromonas spp.,Bacteria,All infectious syndromes,2019,0.4272916350354583,0.8926109072999319,0.1755710892654765
Mexico,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Aeromonas spp.,Bacteria,All infectious syndromes,2019,0.7408701138964215,1.623158891078328,0.2586686943112049
Marshall Islands,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Aeromonas spp.,Bacteria,All infectious syndromes,2019,2.9149891522377454,7.090327494933069,1.1409782785464528
North Macedonia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Aeromonas spp.,Bacteria,All infectious syndromes,2019,1.2902256623247492,2.6896272882021175,0.4678173636401716
Mali,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Aeromonas spp.,Bacteria,All infectious syndromes,2019,32.83217042976083,66.34813322115774,12.711867351870215
Malta,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Aeromonas spp.,Bacteria,All infectious syndromes,2019,0.033885538157343784,0.06444779253873549,0.014412191727697674
Myanmar,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Aeromonas spp.,Bacteria,All infectious syndromes,2019,1.6752827544452253,3.421830920986799,0.6880643231157603
Montenegro,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Aeromonas spp.,Bacteria,All infectious syndromes,2019,0.8467754661143101,1.6930311602072912,0.32706987620932143
Mongolia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Aeromonas spp.,Bacteria,All infectious syndromes,2019,2.226956578424895,5.029390332502322,0.7760891674890668
Northern Mariana Islands,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Aeromonas spp.,Bacteria,All infectious syndromes,2019,1.1560598629932826,2.270477139811611,0.4814794985532698
Mozambique,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Aeromonas spp.,Bacteria,All infectious syndromes,2019,41.384203398359986,91.78204444685413,13.90190433143647
Mauritania,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Aeromonas spp.,Bacteria,All infectious syndromes,2019,37.19472902899829,89.5024366555274,11.482295194480313
Mauritius,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Aeromonas spp.,Bacteria,All infectious syndromes,2019,0.3805305308471102,0.6888961661060693,0.18107911640815721
Malawi,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Aeromonas spp.,Bacteria,All infectious syndromes,2019,55.786280663221326,113.26344894004457,22.345410064474034
Malaysia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Aeromonas spp.,Bacteria,All infectious syndromes,2019,0.47878027800807743,1.0196930498149557,0.184919677699879
Namibia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Aeromonas spp.,Bacteria,All infectious syndromes,2019,30.36049229147274,72.28506937552449,10.426120999309498
Niger,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Aeromonas spp.,Bacteria,All infectious syndromes,2019,155.28175369030987,347.0837514117468,53.0310151945952
