Location,Age,Sex,Measure,Metric,Pathogen,Pathogen Type,Infectious syndrome,Year,Value,Upper,Lower
Mali,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterobacter spp.,Bacteria,All infectious syndromes,2019,348.99295586246626,495.9621242982436,244.13529098909967
Malta,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterobacter spp.,Bacteria,All infectious syndromes,2019,53.01469650647017,80.31455619823119,34.74109288199712
Myanmar,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterobacter spp.,Bacteria,All infectious syndromes,2019,156.77246266781194,241.53455482708148,100.22618519329345
Montenegro,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterobacter spp.,Bacteria,All infectious syndromes,2019,88.26909091787338,149.3413720791332,50.095871638331666
Mongolia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterobacter spp.,Bacteria,All infectious syndromes,2019,223.8942297060302,337.68824196374635,142.77745262151097
Northern Mariana Islands,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterobacter spp.,Bacteria,All infectious syndromes,2019,261.70070770623545,401.6194846530104,160.86416600321658
Mozambique,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterobacter spp.,Bacteria,All infectious syndromes,2019,170.17026744933455,241.56560141607312,118.1407555378374
Mauritania,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterobacter spp.,Bacteria,All infectious syndromes,2019,154.76906714347373,227.22753117135431,104.94412614101522
Mauritius,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterobacter spp.,Bacteria,All infectious syndromes,2019,103.20819103664962,162.84994452387411,60.84487404244913
Malawi,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterobacter spp.,Bacteria,All infectious syndromes,2019,142.86780062254508,203.9725426696519,99.77732250119878
Malaysia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterobacter spp.,Bacteria,All infectious syndromes,2019,139.43482788332358,205.39479566133238,87.57471930890308
Namibia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterobacter spp.,Bacteria,All infectious syndromes,2019,131.4347997567855,193.60552724428214,87.07417069609912
Niger,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterobacter spp.,Bacteria,All infectious syndromes,2019,313.203154142346,435.9113543594138,226.2120065034347
Nigeria,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterobacter spp.,Bacteria,All infectious syndromes,2019,317.43896069213355,443.2042886238444,224.38211045744706
Nicaragua,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterobacter spp.,Bacteria,All infectious syndromes,2019,78.8349071982381,115.62072123403031,51.87400296135455
Niue,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterobacter spp.,Bacteria,All infectious syndromes,2019,147.4772807033723,224.20563533488573,91.45424515503052
Netherlands,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterobacter spp.,Bacteria,All infectious syndromes,2019,44.94892809396811,63.712944478651735,31.1609188972219
Norway,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterobacter spp.,Bacteria,All infectious syndromes,2019,33.14474680912999,47.34909263542752,22.554439002504385
Nepal,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterobacter spp.,Bacteria,All infectious syndromes,2019,120.4083302052885,178.88987017704576,82.03837365676141
Nauru,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterobacter spp.,Bacteria,All infectious syndromes,2019,241.5687135094395,381.7188003894982,154.1449566641803
New Zealand,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterobacter spp.,Bacteria,All infectious syndromes,2019,52.52658503997953,78.77792347827344,32.76671707731224
